Make,Model,Year,URL
Acura,ADX,2025,https://www.caranddriver.com/acura/adx/specs
Acura,ILX,2017,https://www.caranddriver.com/acura/ilx/specs
Acura,Integra,2023,https://www.caranddriver.com/acura/integra/specs
Acura,Integra Type S,2024,https://www.caranddriver.com/acura/integra-type-s/specs
Acura,MDX,2017,https://www.caranddriver.com/acura/mdx/specs
Acura,NSX,2017,https://www.caranddriver.com/acura/nsx/specs
Acura,RDX,2017,https://www.caranddriver.com/acura/rdx/specs
Acura,RL,2012,https://www.caranddriver.com/acura/rl/specs
Acura,RLX,2017,https://www.caranddriver.com/acura/rlx/specs
Acura,TL,2014,https://www.caranddriver.com/acura/tl/specs
Acura,TLX,2017,https://www.caranddriver.com/acura/tlx/specs
Acura,TSX,2014,https://www.caranddriver.com/acura/tsx/specs
Acura,ZDX,2013,https://www.caranddriver.com/acura/zdx/specs
Afeela,EV Sedan,2026,https://www.caranddriver.com/afeela/ev-sedan/specs
Alfa Romeo,4C,2017,https://www.caranddriver.com/alfa-romeo/4c/specs
Alfa Romeo,8C,2010,https://www.caranddriver.com/alfa-romeo/8c/specs
Alfa Romeo,33 Stradale,2025,https://www.caranddriver.com/alfa-romeo/33-stradale/specs
Alfa Romeo,Giulia,2017,https://www.caranddriver.com/alfa-romeo/giulia/specs
Alfa Romeo,Giulia Quadrifoglio,2017,https://www.caranddriver.com/alfa-romeo/giulia-quadrifoglio/specs
Alfa Romeo,GTV,2021,https://www.caranddriver.com/alfa-romeo/gtv/specs
Alfa Romeo,Stelvio,2018,https://www.caranddriver.com/alfa-romeo/stelvio/specs
Alfa Romeo,Stelvio Quadrifoglio,2019,https://www.caranddriver.com/alfa-romeo/stelvio-quadrifoglio/specs
Alfa Romeo,Tonale,2024,https://www.caranddriver.com/alfa-romeo/tonale/specs
Aston Martin,DB9 GT,2016,https://www.caranddriver.com/aston-martin/db9-gt/specs
Aston Martin,DB11,2017,https://www.caranddriver.com/aston-martin/db11/specs
Aston Martin,DB12,2024,https://www.caranddriver.com/aston-martin/db12/specs
Aston Martin,DBS,2012,https://www.caranddriver.com/aston-martin/dbs/specs
Aston Martin,DBX,2021,https://www.caranddriver.com/aston-martin/dbx/specs
Aston Martin,One-77,2011,https://www.caranddriver.com/aston-martin/one-77/specs
Aston Martin,Rapide,2019,https://www.caranddriver.com/aston-martin/rapide/specs
Aston Martin,Valhalla,2024,https://www.caranddriver.com/aston-martin/valhalla/specs
Aston Martin,Valkyrie,2022,https://www.caranddriver.com/aston-martin/valkyrie/specs
Aston Martin,Vanquish,2019,https://www.caranddriver.com/aston-martin/vanquish/specs
Aston Martin,Vantage,2017,https://www.caranddriver.com/aston-martin/vantage/specs
Aston Martin,Virage,2012,https://www.caranddriver.com/aston-martin/virage/specs
Audi,A3,2017,https://www.caranddriver.com/audi/a3/specs
Audi,A3 Sportback e-tron,2017,https://www.caranddriver.com/audi/a3-sportback-e-tron/specs
Audi,A4,2017,https://www.caranddriver.com/audi/a4/specs
Audi,A4 Allroad Quattro,2017,https://www.caranddriver.com/audi/a4-allroad-quattro/specs
Audi,A5,2017,https://www.caranddriver.com/audi/a5/specs
Audi,A5 Sportback,2018,https://www.caranddriver.com/audi/a5-sportback/specs
Audi,A6,2017,https://www.caranddriver.com/audi/a6/specs
Audi,A6 Allroad,2020,https://www.caranddriver.com/audi/a6-allroad/specs
Audi,A6 e-tron,2025,https://www.caranddriver.com/audi/a6-e-tron/specs
Audi,A7,2017,https://www.caranddriver.com/audi/a7/specs
Audi,A8,2017,https://www.caranddriver.com/audi/a8/specs
Audi,e-tron GT,2022,https://www.caranddriver.com/audi/e-tron-gt/specs
Audi,Q3,2017,https://www.caranddriver.com/audi/q3/specs
Audi,Q4 e-tron,2022,https://www.caranddriver.com/audi/q4-e-tron/specs
Audi,Q5,2017,https://www.caranddriver.com/audi/q5/specs
Audi,Q6 e-tron,2025,https://www.caranddriver.com/audi/q6-e-tron/specs
Audi,Q7,2017,https://www.caranddriver.com/audi/q7/specs
Audi,Q8,2019,https://www.caranddriver.com/audi/q8/specs
Audi,Q8 e-tron,2019,https://www.caranddriver.com/audi/q8-e-tron/specs
Audi,R8,2017,https://www.caranddriver.com/audi/r8/specs
Audi,RS Q8,2020,https://www.caranddriver.com/audi/rs-q8/specs
Audi,RS3,2017,https://www.caranddriver.com/audi/rs3/specs
Audi,RS4,2008,https://www.caranddriver.com/audi/rs4/specs
Audi,RS5,2019,https://www.caranddriver.com/audi/rs5/specs
Audi,RS5 Sportback,2019,https://www.caranddriver.com/audi/rs5-sportback/specs
Audi,RS6 Avant,2021,https://www.caranddriver.com/audi/rs6-avant/specs
Audi,RS7,2018,https://www.caranddriver.com/audi/rs7/specs
Audi,S3,2017,https://www.caranddriver.com/audi/s3/specs
Audi,S4,2018,https://www.caranddriver.com/audi/s4/specs
Audi,S5,2017,https://www.caranddriver.com/audi/s5/specs
Audi,S5 Sportback,2018,https://www.caranddriver.com/audi/s5-sportback/specs
Audi,S6,2017,https://www.caranddriver.com/audi/s6/specs
Audi,S7,2017,https://www.caranddriver.com/audi/s7/specs
Audi,S8,2017,https://www.caranddriver.com/audi/s8/specs
Audi,SQ5,2017,https://www.caranddriver.com/audi/sq5/specs
Audi,SQ6 e-tron,2025,https://www.caranddriver.com/audi/sq6-e-tron/specs
Audi,SQ7,2020,https://www.caranddriver.com/audi/sq7/specs
Audi,SQ8,2020,https://www.caranddriver.com/audi/sq8/specs
Audi,SQ8 e-tron,2024,https://www.caranddriver.com/audi/sq8-e-tron/specs
Audi,TT / TTS,2017,https://www.caranddriver.com/audi/tt-/-tts/specs
Audi,TT RS,2018,https://www.caranddriver.com/audi/tt-rs/specs
Bentley,Arnage,2009,https://www.caranddriver.com/bentley/arnage/specs
Bentley,Azure,2010,https://www.caranddriver.com/bentley/azure/specs
Bentley,Bentayga,2017,https://www.caranddriver.com/bentley/bentayga/specs
Bentley,Brooklands,2010,https://www.caranddriver.com/bentley/brooklands/specs
Bentley,Continental GT,2017,https://www.caranddriver.com/bentley/continental-gt/specs
Bentley,Continental GT Speed,2012,https://www.caranddriver.com/bentley/continental-gt-speed/specs
Bentley,Flying Spur,2017,https://www.caranddriver.com/bentley/flying-spur/specs
Bentley,Mulsanne,2017,https://www.caranddriver.com/bentley/mulsanne/specs
Bentley,Mulsanne Speed,2019,https://www.caranddriver.com/bentley/mulsanne-speed/specs
BMW,1-series,2013,https://www.caranddriver.com/bmw/1-series/specs
BMW,2-series,2017,https://www.caranddriver.com/bmw/2-series/specs
BMW,2-series Gran Coupe,2020,https://www.caranddriver.com/bmw/2-series-gran-coupe/specs
BMW,3-series,2017,https://www.caranddriver.com/bmw/3-series/specs
BMW,3-series Wagon,2019,https://www.caranddriver.com/bmw/3-series-wagon/specs
BMW,4-series,2017,https://www.caranddriver.com/bmw/4-series/specs
BMW,4-series Gran Coupe,2017,https://www.caranddriver.com/bmw/4-series-gran-coupe/specs
BMW,5-series,2017,https://www.caranddriver.com/bmw/5-series/specs
BMW,6-series,2017,https://www.caranddriver.com/bmw/6-series/specs
BMW,6-series Gran Coupe,2019,https://www.caranddriver.com/bmw/6-series-gran-coupe/specs
BMW,6-series Gran Turismo,2019,https://www.caranddriver.com/bmw/6-series-gran-turismo/specs
BMW,7-series,2017,https://www.caranddriver.com/bmw/7-series/specs
BMW,8-series,2019,https://www.caranddriver.com/bmw/8-series/specs
BMW,8-series Gran Coupe,2020,https://www.caranddriver.com/bmw/8-series-gran-coupe/specs
BMW,i3,2017,https://www.caranddriver.com/bmw/i3/specs
BMW,i4,2022,https://www.caranddriver.com/bmw/i4/specs
BMW,i5,2024,https://www.caranddriver.com/bmw/i5/specs
BMW,i7,2023,https://www.caranddriver.com/bmw/i7/specs
BMW,i8,2017,https://www.caranddriver.com/bmw/i8/specs
BMW,i8 M,2026,https://www.caranddriver.com/bmw/i8-m/specs
BMW,iX,2022,https://www.caranddriver.com/bmw/ix/specs
BMW,iX3,2026,https://www.caranddriver.com/bmw/ix3/specs
BMW,M2,2017,https://www.caranddriver.com/bmw/m2/specs
BMW,M3,2018,https://www.caranddriver.com/bmw/m3/specs
BMW,M4,2017,https://www.caranddriver.com/bmw/m4/specs
